threshold	 size
10,4
20,9
30,14
40,19
50,20
60,25
70,32
80,82
90,164
100,170
110,227
120,230
130,230
140,230
150,250
160,393
170,417
180,432
190,541
200,652
210,1488
220,1540
230,1557
240,1566
250,1579
260,1980
270,1982
280,2011
290,2579
300,2587
310,2590
320,2595
330,3139
340,3145
350,3159
360,3207
370,3207
380,3208
390,3210
400,3210
410,3214
420,3219
430,3219
440,3220
450,3224
460,3224
470,3225
480,3226
490,3230
500,3230
510,3230
520,3231
530,3375
10,4
20,9
30,14
40,19
50,20
60,25
70,32
80,82
90,164
100,170
110,227
120,230
130,230
140,230
150,250
160,393
170,417
180,432
190,541
200,652
210,1488
220,1540
230,1557
240,1566
250,1579
260,1980
270,1982
280,2011
290,2579
300,2587
310,2590
320,2595
330,3139
340,3145
350,3159
360,3207
370,3207
380,3208
390,3210
400,3210
410,3214
420,3219
430,3219
440,3220
450,3224
460,3224
470,3225
480,3226
490,3230
500,3230
510,3230
520,3231
530,3375
540,3375
550,3375
560,3375
570,3375
580,3375
590,3375
600,3375
610,3375
620,3375
630,3375
640,3380
650,3383
660,3420
670,3420
680,3420
690,3421
700,3421
710,3421
720,3421
730,3422
740,3422
750,3422
760,3422
770,3422
780,3422
790,3422
800,3422
810,3422
820,3422
830,3422
840,3422
850,3422
860,3422
870,3422
880,3422
890,3422
900,3422
910,3422
920,3422
930,3422
940,3422
950,3422
960,3422
970,3422
980,3422
990,3422
1000,3422
1010,3422
10,4
20,9
30,14
40,19
50,20
60,25
70,32
80,82
90,164
10,4
20,9
30,14
40,19
50,20
60,25
70,32
80,82
90,164
10,4
20,9
30,14
40,19
50,20
60,25
70,32
80,82
90,164
100,170
110,227
120,230
130,230
140,230
150,250
160,393
170,417
180,432
190,541
200,652
210,1488
220,1540
230,1557
240,1566
250,1579
260,1980
270,1982
280,2011
290,2579
300,2587
310,2590
320,2595
330,3139
340,3145
350,3159
360,3207
370,3207
380,3208
390,3210
400,3210
410,3214
420,3219
430,3219
440,3220
450,3224
460,3224
470,3225
480,3226
490,3230
500,3230
510,3230
520,3231
530,3375
540,3375
550,3375
560,3375
570,3375
580,3375
590,3375
600,3375
610,3375
620,3375
630,3375
640,3380
650,3383
660,3420
670,3420
680,3420
690,3421
700,3421
710,3421
720,3421
730,3422
740,3422
750,3422
760,3422
770,3422
780,3422
790,3422
800,3422
810,3422
820,3422
830,3422
840,3422
850,3422
860,3422
870,3422
880,3422
890,3422
900,3422
910,3422
920,3422
930,3422
940,3422
950,3422
960,3422
970,3422
980,3422
990,3422
1000,3422
1010,3422
10,4
20,9
30,14
40,19
50,20
60,25
70,32
80,82
90,164
100,170
110,227
120,230
130,230
140,230
150,250
160,393
170,417
180,432
190,541
200,652
210,1488
220,1540
230,1557
240,1566
250,1579
260,1980
270,1982
280,2011
290,2579
300,2587
310,2590
320,2595
330,3139
340,3145
350,3159
360,3207
370,3207
380,3208
390,3210
400,3210
410,3214
420,3219
430,3219
440,3220
450,3224
460,3224
470,3225
480,3226
490,3230
500,3230
510,3230
520,3231
530,3375
540,3375
550,3375
560,3375
570,3375
580,3375
590,3375
600,3375
610,3375
620,3375
630,3375
640,3380
650,3383
660,3420
670,3420
680,3420
690,3421
700,3421
710,3421
